,Name
0,Maruti Wagon R LXI CNG
1,Hyundai Creta 1.6 CRDi SX Option
2,Honda Jazz V
3,Maruti Ertiga VDI
4,Audi A4 New 2.0 TDI Multitronic
5,Hyundai EON LPG Era Plus Option
6,Nissan Micra Diesel XV
7,Toyota Innova Crysta 2.8 GX AT 8S
8,Volkswagen Vento Diesel Comfortline
9,Tata Indica Vista Quadrajet LS
10,Maruti Ciaz Zeta
11,Honda City 1.5 V AT Sunroof
12,Maruti Swift VDI BSIV
13,Land Rover Range Rover 2.2L Pure
14,Land Rover Freelander 2 TD4 SE
15,Mitsubishi Pajero Sport 4X4
16,Honda Amaze S i-Dtech
17,Maruti Swift DDiS VDI
18,Renault Duster 85PS Diesel RxL Plus
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare
20,BMW 3 Series 320d
21,Maruti S Cross DDiS 200 Alpha
22,Audi A6 2011-2015 35 TFSI Technology
23,Hyundai i20 1.2 Magna
24,Volkswagen Vento Petrol Highline AT
25,Honda City Corporate Edition
26,Nissan Micra Diesel XV
27,Maruti Alto K10 2010-2014 VXI
28,Honda WRV i-VTEC VX
29,Toyota Innova 2.5 V Diesel 7-seater
30,Renault Duster 110PS Diesel RxZ Pack
31,Toyota Corolla Altis G
32,Mahindra Ssangyong Rexton RX7
33,Audi A6 2.7 TDI
34,Volkswagen Vento 1.6 Highline
35,Maruti Wagon R LXI BSIII
36,Maruti Vitara Brezza ZDi Plus
37,Mahindra KUV 100 mFALCON G80 K6 5str AW
38,Mercedes-Benz M-Class ML 350 CDI
39,Volkswagen Polo Diesel Trendline 1.2L
40,Maruti Alto LXi
41,Tata Nano LX SE
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone
43,Hyundai i20 Magna Optional 1.2
44,Hyundai Elantra 2.0 SX Option AT
45,Toyota Corolla Altis G AT
46,Hyundai Elantra CRDi
47,Toyota Innova Crysta 2.7 GX MT
48,Hyundai Xcent 1.1 CRDi S
49,Mahindra Thar CRDe AC
50,Audi A4 2.0 TDI 177 Bhp Premium Plus
51,Maruti Swift LDI
52,Maruti Swift Ldi BSIV
53,Maruti Swift VDI
54,Hyundai Grand i10 Sportz
55,Volkswagen Vento 2013-2015 1.6 Comfortline
56,Renault KWID RXT
57,Hyundai i10 Asta
